Date,SVXY_adj_close_price,VXX_adj_close_price,^GSPC_adj_close_price,^VIX_adj_close_price,SVXY_adj_open_price,VXX_adj_open_price
11/07/2012,62.46,2364.8,1394.53,19.08,66.17,2245.12
11/08/2012,61.93,2380.15,1377.51,18.49,62.55,2360.96
11/09/2012,61.97,2379.52,1379.85,18.61,61.3,2405.76
11/12/2012,65.97,2226.56,1380.03,16.68,62.64,2351.36
11/13/2012,65.83,2230.4,1374.53,16.65,64.42,2275.2
11/14/2012,63.6,2304,1355.49,17.92,67.72,2166.4
11/15/2012,62.91,2324.48,1353.33,17.99,63.62,2302.72
11/16/2012,65.82,2219.51,1359.88,16.41,63.68,2299.52
11/19/2012,71.46,2028.8,1386.89,15.24,68.15,2140.8
11/20/2012,72.62,1994.24,1387.81,15.08,72.25,2005.12
11/21/2012,72.14,2005.76,1391.03,15.31,72.82,1989.12
11/23/2012,75.29,1920,1409.15,15.14,73.87,1958.4
11/26/2012,75.91,1903.36,1406.29,15.5,73.98,1955.84
11/27/2012,74.23,1943.04,1398.94,15.92,76.4,1890.56
11/28/2012,76.25,1884.16,1409.93,15.51,72.97,1975.68
11/29/2012,77.28,1862.4,1415.95,15.06,77.46,1859.2
11/30/2012,75.77,1895.68,1416.18,15.87,78.01,1845.76
12/03/2012,74.36,1935.38,1409.46,16.64,77.89,1848.96
12/04/2012,72.96,1962.88,1407.05,17.12,73.8,1944.96
12/05/2012,74.17,1930.25,1409.28,16.46,73,1966.08
12/06/2012,73.31,1954.55,1413.94,16.58,74.18,1931.52
12/07/2012,75.83,1884.16,1418.07,15.9,74.43,1922.56
12/10/2012,74.91,1912.32,1418.55,16.05,75.16,1903.36
12/11/2012,77.37,1846.83,1427.84,15.57,75.79,1888.64
12/12/2012,75.45,1892.69,1428.48,15.95,77.7,1838.72
12/13/2012,74.01,1928.12,1419.45,16.56,75.57,1887.36
12/14/2012,73.52,1941.33,1413.58,17,73.6,1936.64
12/17/2012,76,1874.56,1430.36,16.34,73.23,1948.8
12/18/2012,78.84,1801.79,1446.79,15.57,77.21,1845.12
12/19/2012,74.16,1906.56,1435.81,17.36,78.93,1800.32
12/20/2012,72.45,1949.44,1443.69,17.67,74.4,1901.44
12/21/2012,67.7,2082.56,1430.15,17.84,66.56,2113.28
12/24/2012,68.95,2045.44,1426.66,17.84,68.94,2048.64
12/26/2012,65.25,2159.36,1419.83,19.48,67.87,2081.28
12/27/2012,65.21,2157.44,1418.1,19.47,65.31,2154.24
12/28/2012,61.85,2267.52,1402.43,22.72,63.13,2228.48
12/31/2012,65.45,2035.84,1426.19,18.02,58.73,2329.6
01/02/2013,73.46,1795.19,1462.42,14.68,71.75,1834.87
01/03/2013,72.85,1800.34,1459.37,14.56,72.66,1805.44
01/04/2013,74.33,1763.2,1466.47,13.83,72.95,1795.2
01/07/2013,74.3,1761.28,1461.89,13.79,73.54,1783.68
01/08/2013,75.15,1739.52,1457.15,13.62,74.83,1749.12
01/09/2013,75.04,1743.36,1461.02,13.81,76.45,1712
01/10/2013,76.91,1700.48,1472.12,13.49,76.48,1708.8
01/11/2013,77.14,1693.44,1472.05,13.36,76.8,1702.4
01/14/2013,78.48,1665.92,1470.68,13.52,77.32,1690.24
01/15/2013,78.45,1666.56,1472.34,13.55,77.54,1686.4
01/16/2013,80.21,1631.36,1472.63,13.42,79.09,1652.48
01/17/2013,79.64,1640.32,1480.94,13.57,81.18,1609.28
01/18/2013,84.64,1534.72,1485.98,12.46,80.52,1623.04
01/22/2013,87.22,1491.2,1492.56,12.43,84.81,1536.64
01/23/2013,89.49,1450.88,1494.81,12.46,87.11,1489.92
01/24/2013,88.96,1459.2,1494.82,12.69,88.85,1459.84
01/25/2013,88.28,1468.8,1502.96,12.89,88.74,1463.04
01/28/2013,85.8,1508.48,1500.18,13.57,88.59,1464.96
01/29/2013,88.51,1463.04,1507.84,13.31,84.57,1530.88
01/30/2013,82.94,1553.28,1501.96,14.32,86.39,1496.96
01/31/2013,82.56,1557.76,1498.11,14.28,82.25,1564.8
02/01/2013,86.73,1477.76,1513.17,12.9,85.8,1496.96
02/04/2013,81.08,1579.52,1495.71,14.67,84.39,1523.2
02/05/2013,84.6,1514.94,1511.29,13.72,82.92,1545.6
02/06/2013,84.99,1507.2,1512.12,13.41,82.83,1544.32
02/07/2013,85.29,1501.44,1509.39,13.5,86.15,1487.36
02/08/2013,86.93,1471.36,1517.93,13.02,85.85,1491.84
